arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
pynapple/core/config.py,10,1.5,4,15,A,PynappleConfig,set_backend,93
pynapple/io/cnmfe.py,6,1.5,2,9,A,CNMF_E,load_cnmfe_nwb,52
pynapple/core/time_index.py,8,2.25,4,18,A,TsIndex,format_timestamps,25
pynapple/io/suite2p.py,16,2.38,6,38,B,Suite2P,_load_timeseries,146
pynapple/io/loader.py,10,2.6,9,26,B,BaseLoader,load_data,77
pynapple/process/randomize.py,11,2.73,10,30,B,,shift_timestamps,12
pynapple/core/interval_set.py,55,2.78,15,153,C,IntervalSet,__getitem__,591
pynapple/io/folder.py,13,3.0,7,39,B,,_find_files,19
pynapple/process/filtering.py,13,3.08,15,40,C,,wrapper,16
pynapple/process/signal.py,9,3.11,10,28,B,,_validate_detect_oscillatory_events_inputs,248
pynapple/core/base_class.py,33,3.24,11,107,C,_Base,count,222
pynapple/process/decoding.py,12,3.25,7,39,B,,_format_decoding_outputs,120
pynapple/core/time_series.py,98,3.32,15,325,C,TsdFrame,_getitem_array_like,1839
pynapple/io/neurosuite.py,15,3.47,8,52,B,NeuroSuite,_accumulate_waveforms,324
pynapple/io/interface_neurosuite.py,23,3.48,17,80,C,,_build_events,39
pynapple/io/phy.py,3,3.67,6,11,B,Phy,load_lfp,76
pynapple/core/_core_functions.py,7,3.86,7,27,B,,_dropna,93
pynapple/process/tuning_curves.py,31,4.03,17,125,C,,compute_response_per_epoch,337
pynapple/io/interface_nwb.py,23,4.17,15,96,C,,_make_tsgroup,287
pynapple/process/warping.py,6,4.17,7,25,B,,_warp_tensor_from_tsd,168
pynapple/core/utils.py,35,4.2,12,147,C,,modifies_time_axis,618
pynapple/io/interface_neo.py,49,4.31,25,211,D,EphysReader,_collect_data,1195
pynapple/core/ts_group.py,49,4.33,14,212,C,TsGroup,__repr__,436
pynapple/io/interface_npz.py,3,4.33,7,13,B,,_find_class_from_variables,18
pynapple/core/metadata_class.py,45,4.42,15,199,C,_MetadataMixin,drop_info,380
pynapple/process/wavelets.py,6,5.0,14,30,C,,compute_wavelet_transform,44
pynapple/process/_process_functions.py,7,5.14,13,36,C,,_jitperievent_triggered_average,107
pynapple/process/spectrum.py,6,5.17,10,31,B,,compute_mean_power_spectral_density,192
pynapple/core/_jitted_functions.py,37,5.62,13,208,C,,jitrestrict,9
pynapple/io/misc.py,6,5.67,11,34,C,,load_binary_file,155
pynapple/process/perievent.py,5,6.6,13,33,C,,compute_event_triggered_average,13
pynapple/process/correlograms.py,7,8.0,14,56,C,,compute_isi_distribution,458
