arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
pynapple/core/base_class.py,method,_Base,_define_instance,A,1,64,70
pynapple/core/base_class.py,method,_Base,t,A,1,73,75
pynapple/core/base_class.py,method,_Base,start,A,1,78,80
pynapple/core/base_class.py,method,_Base,end,A,1,83,85
pynapple/core/base_class.py,method,_Base,shape,A,1,88,90
pynapple/core/base_class.py,method,_Base,__repr__,A,1,92,93
pynapple/core/base_class.py,method,_Base,__str__,A,1,95,96
pynapple/core/base_class.py,method,_Base,__len__,A,1,98,99
pynapple/core/base_class.py,method,_Base,__getitem__,A,1,113,115
pynapple/core/base_class.py,method,_Base,__setitem__,A,1,117,118
pynapple/core/base_class.py,method,_Base,times,A,1,120,134
pynapple/core/base_class.py,method,_Base,_format_time,A,1,518,519
pynapple/core/base_class.py,method,_Base,_get_filename,A,1,659,678
pynapple/core/config.py,method,PynappleConfig,__init__,A,1,77,80
pynapple/core/config.py,method,PynappleConfig,backend,A,1,83,87
pynapple/core/config.py,method,PynappleConfig,backend,A,1,90,91
pynapple/core/config.py,method,PynappleConfig,time_index_precision,A,1,111,119
pynapple/core/config.py,method,PynappleConfig,suppress_conversion_warnings,A,1,122,128
pynapple/core/config.py,method,PynappleConfig,suppress_time_index_sorting_warnings,A,1,137,142
pynapple/core/config.py,method,PynappleConfig,restore_defaults,A,1,152,160
pynapple/core/interval_set.py,method,IntervalSet,__init__,A,1,298,317
pynapple/core/interval_set.py,method,IntervalSet,_initialize_state,A,1,427,438
pynapple/core/interval_set.py,method,IntervalSet,__str__,A,1,538,539
pynapple/core/interval_set.py,method,IntervalSet,__len__,A,1,541,542
pynapple/core/interval_set.py,method,IntervalSet,__array__,A,1,636,637
pynapple/core/interval_set.py,method,IntervalSet,start,A,1,674,675
pynapple/core/interval_set.py,method,IntervalSet,end,A,1,678,679
pynapple/core/interval_set.py,method,IntervalSet,shape,A,1,682,683
pynapple/core/interval_set.py,method,IntervalSet,ndim,A,1,686,687
pynapple/core/interval_set.py,method,IntervalSet,size,A,1,690,691
pynapple/core/interval_set.py,method,IntervalSet,starts,A,1,694,708
pynapple/core/interval_set.py,method,IntervalSet,ends,A,1,711,725
pynapple/core/interval_set.py,method,IntervalSet,loc,A,1,728,732
pynapple/core/interval_set.py,method,IntervalSet,tot_length,A,1,779,794
pynapple/core/interval_set.py,method,IntervalSet,set_diff,A,1,853,873
pynapple/core/interval_set.py,method,IntervalSet,in_interval,A,1,875,895
pynapple/core/interval_set.py,method,IntervalSet,drop_short_intervals,A,1,897,916
pynapple/core/interval_set.py,method,IntervalSet,drop_long_intervals,A,1,918,937
pynapple/core/interval_set.py,method,IntervalSet,as_dataframe,A,1,1030,1040
pynapple/core/interval_set.py,method,IntervalSet,save,A,1,1042,1088
pynapple/core/interval_set.py,method,IntervalSet,set_info,A,1,1172,1245
pynapple/core/interval_set.py,method,IntervalSet,get_info,A,1,1248,1304
pynapple/core/interval_set.py,method,IntervalSet,drop_info,A,1,1307,1343
