arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
pynapple/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/io/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/process/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/io/cnmfe.py,arquivo,,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
pynapple/core/config.py,arquivo,,4,7,5,8,11,13,27.6515,44.9726,2.2857,102.7945,5.7108,0.015
pynapple/io/interface_npz.py,arquivo,,3,10,6,12,13,18,37.9742,66.6079,1.8,119.8942,6.6608,0.0222
pynapple/io/phy.py,arquivo,,6,22,13,25,28,38,113.6173,182.6795,3.4091,622.771,34.5984,0.0609
pynapple/core/time_index.py,arquivo,,6,22,15,28,28,43,113.6173,206.7163,3.8182,789.2803,43.8489,0.0689
pynapple/io/loader.py,arquivo,,6,28,16,32,34,48,150.1157,244.1982,3.4286,837.251,46.5139,0.0814
pynapple/process/warping.py,arquivo,,9,27,17,30,36,47,156.9113,242.9865,5.0,1214.9324,67.4962,0.081
pynapple/io/suite2p.py,arquivo,,9,39,21,40,48,61,234.66,340.6827,4.6154,1572.3818,87.3545,0.1136
pynapple/process/randomize.py,arquivo,,10,37,24,41,47,65,225.9691,361.0483,5.5405,2000.4026,111.1335,0.1203
pynapple/process/signal.py,arquivo,,12,31,21,35,43,56,196.5996,303.8708,6.7742,2058.4798,114.36,0.1013
pynapple/io/folder.py,arquivo,,7,57,35,66,64,101,352.1262,606.0,4.0526,2455.8947,136.4386,0.202
pynapple/io/misc.py,arquivo,,8,39,29,56,47,85,230.1307,472.1401,5.7436,2711.7788,150.6544,0.1574
pynapple/core/_core_functions.py,arquivo,,10,44,34,62,54,96,273.4343,552.4692,7.0455,3892.3966,216.2443,0.1842
pynapple/process/perievent.py,arquivo,,13,53,40,65,66,105,351.6855,634.6614,7.9717,5059.3289,281.0738,0.2116
pynapple/process/filtering.py,arquivo,,14,65,45,82,79,127,444.7569,800.5802,8.8308,7069.7386,392.7633,0.2669
pynapple/io/interface_nwb.py,arquivo,,14,75,50,92,89,142,520.4644,919.5541,8.5867,7895.9049,438.6614,0.3065
pynapple/process/decoding.py,arquivo,,13,67,56,90,80,146,454.5337,923.0015,8.7313,8059.043,447.7246,0.3077
pynapple/process/correlograms.py,arquivo,,15,81,62,114,96,176,572.1312,1158.9534,10.5556,12233.397,679.6332,0.3863
pynapple/process/wavelets.py,arquivo,,15,88,67,119,103,186,627.0333,1243.6891,10.142,12613.5514,700.7529,0.4146
pynapple/io/interface_neurosuite.py,arquivo,,16,96,63,122,112,185,696.1564,1259.3607,10.1667,12803.5,711.3056,0.4198
pynapple/process/_process_functions.py,arquivo,,13,91,70,134,104,204,640.315,1366.8897,9.5714,13083.0872,726.8382,0.4556
pynapple/process/spectrum.py,arquivo,,14,82,64,125,96,189,574.6222,1244.5579,10.6707,13280.3436,737.7969,0.4149
pynapple/io/neurosuite.py,arquivo,,18,115,72,135,133,207,862.29,1460.4435,10.5652,15429.9027,857.2168,0.4868
pynapple/process/tuning_curves.py,arquivo,,15,137,94,159,152,253,1031.0338,1833.7257,8.7044,15961.4442,886.7469,0.6112
pynapple/core/metadata_class.py,arquivo,,14,154,96,182,168,278,1172.3881,2055.0642,8.2727,17000.986,944.4992,0.685
pynapple/core/utils.py,arquivo,,18,142,89,172,160,261,1090.3227,1911.0232,10.9014,20832.8448,1157.3803,0.637
pynapple/io/interface_neo.py,arquivo,,19,156,100,192,175,292,1217.2334,2175.7536,11.6923,25439.5811,1413.3101,0.7253
pynapple/core/interval_set.py,arquivo,,16,191,127,239,207,366,1511.2889,2815.8162,10.0105,28187.6473,1565.9804,0.9386
pynapple/core/base_class.py,arquivo,,19,152,114,210,171,324,1182.3956,2403.3842,13.125,31544.4178,1752.4677,0.8011
pynapple/core/ts_group.py,arquivo,,20,201,138,249,221,387,1624.3,3013.9183,12.3881,37336.5997,2074.2555,1.0046
pynapple/core/time_series.py,arquivo,,19,332,237,438,351,675,2861.2237,5707.3459,12.5331,71530.9222,3973.9401,1.9024
pynapple/core/_jitted_functions.py,arquivo,,13,409,372,730,422,1102,3596.5721,9610.6513,11.6015,111497.6539,6194.3141,3.2036
