arquivo,mi,rank_mi
pynapple/core/time_series.py,0.0,C
pynapple/core/ts_group.py,5.3232,C
pynapple/core/_jitted_functions.py,5.884,C
pynapple/io/interface_neo.py,18.6792,B
pynapple/core/interval_set.py,21.5367,A
pynapple/core/metadata_class.py,23.2241,A
pynapple/core/base_class.py,34.7767,A
pynapple/core/utils.py,34.8604,A
pynapple/process/perievent.py,35.3566,A
pynapple/process/tuning_curves.py,39.9383,A
pynapple/process/_process_functions.py,40.1895,A
pynapple/io/interface_neurosuite.py,42.4656,A
pynapple/io/interface_nwb.py,44.2823,A
pynapple/process/decoding.py,46.5361,A
pynapple/process/randomize.py,46.8551,A
pynapple/io/neurosuite.py,48.468,A
pynapple/process/correlograms.py,49.8549,A
pynapple/process/signal.py,53.3853,A
pynapple/core/_core_functions.py,54.4816,A
pynapple/process/filtering.py,54.8164,A
pynapple/io/folder.py,54.8354,A
pynapple/core/time_index.py,56.5688,A
pynapple/process/spectrum.py,56.6918,A
pynapple/io/suite2p.py,57.3326,A
pynapple/process/warping.py,57.5831,A
pynapple/io/misc.py,59.9818,A
pynapple/io/loader.py,61.2911,A
pynapple/process/wavelets.py,61.5983,A
pynapple/core/config.py,65.0858,A
pynapple/io/phy.py,72.7897,A
pynapple/io/cnmfe.py,72.8303,A
pynapple/io/interface_npz.py,79.6258,A
pynapple/__init__.py,100.0,A
pynapple/core/__init__.py,100.0,A
pynapple/io/__init__.py,100.0,A
pynapple/process/__init__.py,100.0,A
